date,country,confirmed,deaths,death_rate,days_since100
2020-03-01,France,130,2,0.015384615384615385,0
2020-03-02,France,191,3,0.015706806282722512,1
2020-03-03,France,204,4,0.0196078431372549,2
2020-03-04,France,288,4,0.013888888888888888,3
2020-03-05,France,380,6,0.015789473684210527,4
2020-03-06,France,656,9,0.013719512195121951,5
2020-03-07,France,959,11,0.011470281543274244,6
2020-03-08,France,1136,19,0.016725352112676055,7
2020-03-09,France,1219,19,0.015586546349466776,8
2020-03-10,France,1794,33,0.01839464882943144,9
2020-03-11,France,2293,48,0.020933275185346708,10
2020-03-12,France,2293,48,0.020933275185346708,11
2020-03-13,France,3681,79,0.021461559358869873,12
2020-03-14,France,4496,91,0.020240213523131673,13
2020-03-15,France,4532,91,0.020079435127978818,14
2020-03-16,France,6683,149,0.02229537632799641,15
2020-03-17,France,7715,149,0.01931302657161374,16
2020-03-18,France,9124,149,0.016330556773345023,17
2020-03-19,France,10970,244,0.022242479489516864,18
2020-03-20,France,12758,451,0.03535036839630036,19
2020-03-21,France,14463,563,0.03892691696051995,20
2020-03-22,France,16243,676,0.04161792772271132,21
2020-03-23,France,20123,862,0.042836555185608506,22
2020-03-24,France,22622,1102,0.04871364158783485,23
2020-03-25,France,25600,1333,0.0520703125,24
2020-03-26,France,29551,1698,0.05745998443369091,25
2020-03-27,France,33402,1997,0.059786839111430456,26
2020-03-28,France,38105,2317,0.06080566854743472,27
2020-03-01,Germany,130,0,0.0,0
2020-03-02,Germany,159,0,0.0,1
2020-03-03,Germany,196,0,0.0,2
2020-03-04,Germany,262,0,0.0,3
2020-03-05,Germany,482,0,0.0,4
2020-03-06,Germany,670,0,0.0,5
2020-03-07,Germany,799,0,0.0,6
2020-03-08,Germany,1040,0,0.0,7
2020-03-09,Germany,1176,2,0.0017006802721088435,8
2020-03-10,Germany,1457,2,0.0013726835964310226,9
2020-03-11,Germany,1908,3,0.0015723270440251573,10
2020-03-12,Germany,2078,3,0.0014436958614051972,11
2020-03-13,Germany,3675,7,0.0019047619047619048,12
2020-03-14,Germany,4585,9,0.0019629225736095966,13
2020-03-15,Germany,5795,11,0.0018981880931837791,14
2020-03-16,Germany,7272,17,0.0023377337733773377,15
2020-03-17,Germany,9257,24,0.0025926326023549746,16
2020-03-18,Germany,12327,28,0.002271436683702442,17
2020-03-19,Germany,15320,44,0.0028720626631853785,18
2020-03-20,Germany,19848,67,0.0033756549778315194,19
2020-03-21,Germany,22213,84,0.0037815693512807816,20
2020-03-22,Germany,24873,94,0.0037791983275037187,21
2020-03-23,Germany,29056,123,0.004233204845814978,22
2020-03-24,Germany,32986,157,0.004759594979688353,23
2020-03-25,Germany,37323,206,0.005519384829729657,24
2020-03-26,Germany,43938,267,0.0060767445036187355,25
2020-03-27,Germany,50871,342,0.006722887303178628,26
2020-03-28,Germany,57695,433,0.00750498310078863,27
2020-02-23,Italy,155,3,0.01935483870967742,0
2020-02-24,Italy,229,7,0.03056768558951965,1
2020-02-25,Italy,322,10,0.031055900621118012,2
2020-02-26,Italy,453,12,0.026490066225165563,3
2020-02-27,Italy,655,17,0.025954198473282442,4
2020-02-28,Italy,888,21,0.02364864864864865,5
2020-02-29,Italy,1128,29,0.025709219858156027,6
2020-03-01,Italy,1694,34,0.020070838252656435,7
2020-03-02,Italy,2036,52,0.025540275049115914,8
2020-03-03,Italy,2502,79,0.03157474020783373,9
2020-03-04,Italy,3089,107,0.03463904176108773,10
2020-03-05,Italy,3858,148,0.0383618455158113,11
2020-03-06,Italy,4636,197,0.042493528904227786,12
2020-03-07,Italy,5883,233,0.039605643379228284,13
2020-03-08,Italy,7375,366,0.0496271186440678,14
2020-03-09,Italy,9172,463,0.050479720889664195,15
2020-03-10,Italy,10149,631,0.062173613163858506,16
2020-03-11,Italy,12462,827,0.06636173968865351,17
2020-03-12,Italy,12462,827,0.06636173968865351,18
2020-03-13,Italy,17660,1266,0.07168742921857305,19
2020-03-14,Italy,21157,1441,0.06810984544122513,20
2020-03-15,Italy,24747,1809,0.0730997696690508,21
2020-03-16,Italy,27980,2158,0.0771265189421015,22
2020-03-17,Italy,31506,2503,0.07944518504411859,23
2020-03-18,Italy,35713,2978,0.08338700193206955,24
2020-03-19,Italy,41035,3405,0.08297794565614719,25
2020-03-20,Italy,47021,4032,0.08574892069500861,26
2020-03-21,Italy,53578,4825,0.0900556198439658,27
2020-03-22,Italy,59138,5476,0.09259697656329263,28
2020-03-23,Italy,63927,6077,0.09506155458569931,29
2020-03-24,Italy,69176,6820,0.09858910604834047,30
2020-03-25,Italy,74386,7503,0.10086575430860646,31
2020-03-26,Italy,80589,8215,0.10193698891908325,32
2020-03-27,Italy,86498,9134,0.10559781729057319,33
2020-03-28,Italy,92472,10023,0.10838956657150273,34
2020-02-20,"Korea, South",104,1,0.009615384615384616,0
2020-02-21,"Korea, South",204,2,0.00980392156862745,1
2020-02-22,"Korea, South",433,2,0.004618937644341801,2
2020-02-23,"Korea, South",602,6,0.009966777408637873,3
2020-02-24,"Korea, South",833,8,0.009603841536614645,4
2020-02-25,"Korea, South",977,10,0.01023541453428864,5
2020-02-26,"Korea, South",1261,12,0.00951625693893735,6
2020-02-27,"Korea, South",1766,13,0.007361268403171008,7
2020-02-28,"Korea, South",2337,13,0.005562687205819427,8
2020-02-29,"Korea, South",3150,16,0.005079365079365079,9
2020-03-01,"Korea, South",3736,17,0.004550321199143469,10
2020-03-02,"Korea, South",4335,28,0.006459054209919262,11
2020-03-03,"Korea, South",5186,28,0.005399151561897416,12
2020-03-04,"Korea, South",5621,35,0.0062266500622665,13
2020-03-05,"Korea, South",6088,35,0.005749014454664914,14
2020-03-06,"Korea, South",6593,42,0.006370392840891855,15
2020-03-07,"Korea, South",7041,44,0.0062491123419968755,16
2020-03-08,"Korea, South",7314,50,0.006836204539239814,17
2020-03-09,"Korea, South",7478,53,0.007087456539181599,18
2020-03-10,"Korea, South",7513,54,0.007187541594569413,19
2020-03-11,"Korea, South",7755,60,0.007736943907156673,20
2020-03-12,"Korea, South",7869,66,0.008387342737323675,21
2020-03-13,"Korea, South",7979,66,0.008271713247274095,22
2020-03-14,"Korea, South",8086,72,0.008904279000742024,23
2020-03-15,"Korea, South",8162,75,0.009188924283263906,24
2020-03-16,"Korea, South",8236,75,0.009106362311801846,25
2020-03-17,"Korea, South",8320,81,0.009735576923076923,26
2020-03-18,"Korea, South",8413,84,0.009984547723760846,27
2020-03-19,"Korea, South",8565,91,0.010624635143023935,28
2020-03-20,"Korea, South",8652,94,0.010864539990753583,29
2020-03-21,"Korea, South",8799,102,0.011592226389362428,30
2020-03-22,"Korea, South",8961,111,0.012387010378305993,31
2020-03-23,"Korea, South",8961,111,0.012387010378305993,32
2020-03-24,"Korea, South",9037,120,0.01327874294566781,33
2020-03-25,"Korea, South",9137,126,0.013790084272737223,34
2020-03-26,"Korea, South",9241,131,0.014175954983226923,35
2020-03-27,"Korea, South",9332,139,0.014894984997856837,36
2020-03-28,"Korea, South",9478,144,0.01519307870858831,37
2020-03-02,Spain,120,0,0.0,0
2020-03-03,Spain,165,1,0.006060606060606061,1
2020-03-04,Spain,222,2,0.009009009009009009,2
2020-03-05,Spain,259,3,0.011583011583011582,3
2020-03-06,Spain,400,5,0.0125,4
2020-03-07,Spain,500,10,0.02,5
2020-03-08,Spain,673,17,0.02526002971768202,6
2020-03-09,Spain,1073,28,0.0260950605778192,7
2020-03-10,Spain,1695,35,0.02064896755162242,8
2020-03-11,Spain,2277,54,0.023715415019762844,9
2020-03-12,Spain,2277,55,0.024154589371980676,10
2020-03-13,Spain,5232,133,0.025420489296636085,11
2020-03-14,Spain,6391,195,0.030511657017681115,12
2020-03-15,Spain,7798,289,0.037060784816619646,13
2020-03-16,Spain,9942,342,0.0343995171997586,14
2020-03-17,Spain,11748,533,0.04536942458290773,15
2020-03-18,Spain,13910,623,0.04478792235801582,16
2020-03-19,Spain,17963,830,0.046206090296721035,17
2020-03-20,Spain,20410,1043,0.05110240078392945,18
2020-03-21,Spain,25374,1375,0.05418932765823284,19
2020-03-22,Spain,28768,1772,0.06159621802002225,20
2020-03-23,Spain,35136,2311,0.06577299635701275,21
2020-03-24,Spain,39885,2808,0.0704024069198947,22
2020-03-25,Spain,49515,3647,0.07365444814702615,23
2020-03-26,Spain,57786,4365,0.07553732738033433,24
2020-03-27,Spain,65719,5138,0.07818134785982744,25
2020-03-28,Spain,73235,5982,0.08168225575203113,26
2020-03-03,US,118,7,0.059322033898305086,0
2020-03-04,US,149,11,0.0738255033557047,1
2020-03-05,US,217,12,0.055299539170506916,2
2020-03-06,US,262,14,0.05343511450381679,3
2020-03-07,US,402,17,0.04228855721393035,4
2020-03-08,US,518,21,0.04054054054054054,5
2020-03-09,US,583,22,0.03773584905660377,6
2020-03-10,US,959,28,0.029197080291970802,7
2020-03-11,US,1281,36,0.02810304449648712,8
2020-03-12,US,1663,40,0.024052916416115455,9
2020-03-13,US,2179,47,0.021569527306103717,10
2020-03-14,US,2727,54,0.019801980198019802,11
2020-03-15,US,3499,63,0.018005144326950558,12
2020-03-16,US,4632,85,0.018350604490500865,13
2020-03-17,US,6421,108,0.01681980999844261,14
2020-03-18,US,7783,118,0.015161248875754851,15
2020-03-19,US,13677,200,0.014623089858887182,16
2020-03-20,US,19100,244,0.012774869109947644,17
2020-03-21,US,25489,307,0.012044411314684766,18
2020-03-22,US,33276,417,0.012531554273350162,19
