date,country,value,days_since100,perc_growth,cases_per1m,cases_perICU
2020-02-29,France,100,0,,1.5353971691698145,
2020-03-01,France,130,1,1.3,1.9960163199207588,
2020-03-02,France,191,2,1.4692307692307693,2.9326085931143457,
2020-03-03,France,204,3,1.068062827225131,3.1322102251064217,
2020-03-04,France,288,4,1.411764705882353,4.421943847209065,
2020-03-05,France,380,5,1.3194444444444444,5.834509242845295,
2020-03-06,France,656,6,1.7263157894736842,10.072205429753982,
2020-03-07,France,959,7,1.461890243902439,14.72445885233852,
2020-03-08,France,1136,8,1.1845672575599584,17.44211184176909,
2020-03-09,France,1219,9,1.0730633802816902,18.716491492180037,
2020-03-10,France,1794,10,1.471698113207547,27.54502521490647,
2020-03-11,France,2293,11,1.278149386845039,35.206657089063846,
2020-03-12,France,2293,12,1.0,35.206657089063846,
2020-03-13,France,3681,13,1.6053205407762756,56.51796979714087,
2020-03-14,France,4496,14,1.2214072262972018,69.03145672587486,
2020-03-15,France,4532,15,1.0080071174377223,69.58419970677599,
2020-03-16,France,6683,16,1.4746248896734333,102.6105928156187,
2020-03-17,France,7715,17,1.1544216669160556,118.45589160145119,
2020-03-18,France,9124,18,1.1826312378483474,140.08963771505387,
2020-03-19,France,10970,19,1.2023235423060061,168.43306945792864,
2020-03-20,France,12758,20,1.162989972652689,195.8859708426849,
2020-03-21,France,14463,21,1.1336416366201598,222.06449257703025,
2020-03-22,France,16243,22,1.1230726681877896,249.39456218825296,
2020-03-23,France,20123,23,1.2388721295327219,308.9679723520418,
2020-03-24,France,22622,24,1.1241862545346122,347.33754760959545,
2020-03-25,France,25600,25,1.1316417646538768,393.0616753074725,
2020-03-26,France,29551,26,1.1543359375,453.72521746137187,
2020-03-27,France,33402,27,1.1303170789482588,512.8533624461014,
2020-03-28,France,38105,28,1.1407999520986767,585.0630913121578,
2020-03-29,France,40708,29,1.0683112452434065,625.029479625648,
2020-03-30,France,45170,30,1.1096099046870394,693.5389013140052,
2020-03-31,France,52827,31,1.1695151649324773,811.1042625573378,
2020-04-01,France,57749,32,1.0931720521702917,886.6765112238761,
2020-04-02,France,59929,33,1.0377495714211502,920.1481695117781,
2020-04-03,France,65202,34,1.0879874518179846,1001.1096622421024,
2020-03-01,Germany,130,0,,1.5565684825175508,0.006226273930070203
2020-03-02,Germany,159,1,1.2230769230769232,1.9038029901560813,0.007615211960624325
2020-03-03,Germany,196,2,1.2327044025157232,2.346826327488,0.009387305309951998
2020-03-04,Germany,262,3,1.336734693877551,3.1370841724584486,0.012548336689833794
2020-03-05,Germany,482,4,1.8396946564885497,5.771276989026611,0.023085107956106445
2020-03-06,Germany,670,5,1.3900414937759336,8.022314486821223,0.03208925794728489
2020-03-07,Germany,799,6,1.1925373134328359,9.566909365627101,0.0382676374625084
2020-03-08,Germany,1040,7,1.3016270337922402,12.452547860140406,0.049810191440561626
2020-03-09,Germany,1176,8,1.1307692307692307,14.080957964927999,0.056323831859711994
