date,country,value
2020-02-15,France,1
2020-02-16,France,1
2020-02-17,France,1
2020-02-18,France,1
2020-02-19,France,1
2020-02-20,France,1
2020-02-21,France,1
2020-02-22,France,1
2020-02-23,France,1
2020-02-24,France,1
2020-02-25,France,1
2020-02-26,France,2
2020-02-27,France,2
2020-02-28,France,2
2020-02-29,France,2
2020-03-01,France,2
2020-03-02,France,3
2020-03-03,France,4
2020-03-04,France,4
2020-03-05,France,6
2020-03-06,France,9
2020-03-07,France,11
2020-03-08,France,19
2020-03-09,France,19
2020-03-10,France,33
2020-03-11,France,48
2020-03-12,France,48
2020-03-13,France,79
2020-03-14,France,91
2020-03-15,France,91
2020-03-16,France,149
2020-03-17,France,149
2020-03-18,France,149
2020-03-19,France,244
2020-03-20,France,451
2020-03-21,France,563
2020-03-22,France,676
2020-03-23,France,862
2020-03-24,France,1102
2020-03-25,France,1333
2020-03-26,France,1698
2020-03-27,France,1997
2020-03-28,France,2317
2020-03-09,Germany,2
2020-03-10,Germany,2
2020-03-11,Germany,3
2020-03-12,Germany,3
2020-03-13,Germany,7
2020-03-14,Germany,9
2020-03-15,Germany,11
2020-03-16,Germany,17
2020-03-17,Germany,24
2020-03-18,Germany,28
2020-03-19,Germany,44
2020-03-20,Germany,67
2020-03-21,Germany,84
2020-03-22,Germany,94
2020-03-23,Germany,123
2020-03-24,Germany,157
2020-03-25,Germany,206
2020-03-26,Germany,267
2020-03-27,Germany,342
2020-03-28,Germany,433
2020-02-21,Italy,1
2020-02-22,Italy,2
2020-02-23,Italy,3
2020-02-24,Italy,7
2020-02-25,Italy,10
2020-02-26,Italy,12
2020-02-27,Italy,17
2020-02-28,Italy,21
2020-02-29,Italy,29
2020-03-01,Italy,34
2020-03-02,Italy,52
2020-03-03,Italy,79
2020-03-04,Italy,107
2020-03-05,Italy,148
2020-03-06,Italy,197
2020-03-07,Italy,233
2020-03-08,Italy,366
2020-03-09,Italy,463
2020-03-10,Italy,631
2020-03-11,Italy,827
2020-03-12,Italy,827
2020-03-13,Italy,1266
2020-03-14,Italy,1441
2020-03-15,Italy,1809
2020-03-16,Italy,2158
2020-03-17,Italy,2503
2020-03-18,Italy,2978
2020-03-19,Italy,3405
2020-03-20,Italy,4032
2020-03-21,Italy,4825
2020-03-22,Italy,5476
2020-03-23,Italy,6077
2020-03-24,Italy,6820
2020-03-25,Italy,7503
2020-03-26,Italy,8215
2020-03-27,Italy,9134
2020-03-28,Italy,10023
2020-02-20,"Korea, South",1
2020-02-21,"Korea, South",2
2020-02-22,"Korea, South",2
2020-02-23,"Korea, South",6
